customer_sk,customer_id,customer_name,customer_segment,marital_status,gender,dob,start_day,end_day,is_current
925,3,Mister. Bonnie Potter,Corporate,Single,Male,1992-02-06,0,,True
996,5,Miss. Ronnie Proctor,Home Office,Single,Female,1989-12-07,0,,True
78,11,Miss. Marcus Dunlap,Home Office,Single,Female,1988-12-07,0,,True
181,14,Mr. Gwendolyn F Tyson,Small Business,Single,Male,1992-02-05,0,,True
208,15,Miss. Timothy Reese,Small Business,Single,Female,1992-02-05,0,,True
253,16,Miss. Sarah Ramsey,Small Business,Single,Female,1997-02-05,0,,True
325,18,Mrs. Laurie Hanna,Small Business,Single,Female,1994-12-07,0,,True
367,19,Mrs. Jim Rodgers,Small Business,Single,Male,1993-02-05,0,,True
438,21,Miss. Tony Wilkins Winters,Small Business,Single,Female,1994-02-05,0,,True
553,24,Mr. Edna Thomas,Corporate,Single,Male,1994-02-05,0,,True
672,27,Mister. Guy Gallagher,Corporate,Single,Male,1991-12-07,0,,True
850,32,Miss. Matthew Berman,Corporate,Single,Female,1989-02-05,0,,True
897,33,Mrs. Ricky Hensley,Corporate,Single,Female,1997-02-05,0,,True
932,43,Miss. Theodore Moran,Consumer,Single,Female,1986-02-05,0,,True
967,52,Mrs. Lorraine Kelly,Corporate,Single,Female,1996-02-05,0,,True
970,53,Miss. Sidney Russell Austin,Corporate,Single,Female,1988-02-05,0,,True
980,56,Miss. Randall Montgomery,Consumer,Single,Female,1993-02-05,0,,True
1008,62,Mrs. Pam nan Gilbert,Corporate,Single,Female,1991-02-05,0,,True
1016,64,Miss. Lynn Morrow,Small Business,Single,Female,1996-02-05,0,,True
1034,67,Mr. Ellen McCormick,Corporate,Single,Male,1990-02-05,0,,True
1039,68,Miss. Scott Bunn,Corporate,Single,Female,1987-12-07,0,,True
1050,70,Mrs. Annette Boone,Corporate,Married,Female,1989-12-08,0,,True
1092,83,Mr. Edgar Stone,Corporate,Single,Male,1989-12-07,0,,True
1093,84,Mr. Helen Stein,Corporate,Single,Male,1991-02-05,0,,True
1104,87,Miss. Norman Shields,Corporate,Single,Female,1996-12-07,0,,True
1121,91,Miss. Wallace Werner,Corporate,Single,Female,1991-02-05,0,,True
1126,92,Mrs. Victoria Baker Hoover,Corporate,Single,Female,1991-02-05,0,,True
1136,94,Mister. Eddie House Mueller,Home Office,Single,Male,1991-02-05,0,,True
1146,97,Mrs. Max nan McKenna,Home Office,Single,Female,1990-02-05,0,,True
9,101,Mr. Claudia Boyle,Consumer,Single,Female,1990-02-07,0,,True
15,102,Mister Caroline Johnston,Consumer,Single,Male,1991-02-05,0,,True
35,109,Miss. Tom McFarland,Consumer,Single,Female,1991-02-05,0,,True
57,114,Mrs. Ron Newton,Home Office,Single,Female,1991-02-05,0,,True
64,115,Mr. Dwight M Carr,Home Office,Single,Male,1991-02-06,0,,True
67,117,Mrs. Linda Weiss,Home Office,Single,Female,1999-02-05,0,,True
82,120,Mrs. Helen H Murphy,Corporate,Single,Male,1991-02-05,0,,True
94,123,Mistress Shawn Stern,Home Office,Single,Female,1994-02-05,0,,True
112,129,Miss. Kara nan Allison,Small Business,Single,Female,1997-02-05,0,,True
139,136,Mr. Dale Gillespie,Small Business,Single,Male,1990-02-05,0,,True
158,142,Doctor. Brooke Weeks Taylor,Small Business,Single,Male,1990-02-06,0,,True
164,144,Dr. Marguerite Moss,Small Business,Single,Female,1990-02-05,0,,True
169,146,Miss Yvonne nan Fox,Corporate,Single,Female,1992-12-07,0,,True
186,151,Mr. Geoffrey Zhu,Home Office,Single,Male,1990-02-05,0,,True
190,152,Miss. Kent Kerr,Small Business,Single,Female,1991-02-05,0,,True
