Customer ID,Customer Name,Customer_Segment,Maritial_Status,Gender,DOB,Effective_Start_Dt,Effective_End_Dt,Policy_Type_Id,Policy_Type,Policy_Type_Desc,Policy_Id,Policy_Name,Premium_Amt,Policy_Term,Policy_Start_Dt,Policy_End_Dt,Next_Premium_Dt,Actual_Premium_Paid_Dt,Country,Region,State or Province,City,Postal Code,Total_Policy_Amt,Premium_Amt_Paid_TillDate
1354,Mr. AARON nan Dillon,Consumer,Single,Male,1997-02-05,2007-12-31,,19181.0,TermLife,Coverage for a certain period of time,19181_1354,HSB_Termclaim_23579,5000,Quarterly,2007-12-31,2036-12-27,2011-03-31,2011-09-25,U.S.A,Central,Texas,Weatherford,76086,500000,60000
697,Mister. Adam G Sawyer,Corporate,Married,Male,1997-02-05,2011-06-30,,19182.0,WholeLife,Remain in force for the insured's entire lifetime,19182_697,HSB_WholeLife_22468,60000,Half Yearly,2011-06-30,2112-01-01,2012-06-30,2012-12-31,USA,Central,Indiana,East Chicago,46312,400000,120000
674,Mr AlBERT nan FROST,Small Business,Divorced,Male,1993-02-06,2009-12-31,,19183.0,Endowment,Pay a lump sum on its maturity or on death.,19183_674,HSB_Endowment_19183,5000,Quarterly,2009-12-31,2112-01-01,2013-03-31,2013-09-25,USA,Central,Missouri,Raytown,64133,500000,60000
188,Mrs. ALEX nan harrell,Corporate,Single,Male,1997-02-05,2010-12-31,,19184.0,Moneyback,The insured person gets a percentage of sum assured at regular intervals,19184_188,HSB_Moneyback_19184,5000,Quarterly,2010-12-31,2036-12-27,2014-03-31,2014-09-25,United States Of America,Central,Texas,Gainesville,76240,500000,60000
3106,Mistress. AleXander nan O'Brien,Home Office,Married,Male,1996-02-05,2007-12-31,,19185.0,ChildPlan,Insurance cum investment plan to secure child's future,19185_3106,HSB_ChildPlan_19185,5000,Quarterly,2007-12-31,2035-12-27,2011-03-31,2011-09-25,US,Central,Texas,Houston,77041,500000,60000
597,Mr. AlexandrA nan WISE,Small Business,Divorced,Male,1998-02-05,2008-12-30,,19186.0,UnitLinked,Market-linked product that aggregates the very best of investment and insurance,19186_597,HSB_UnitLinked_19186,5000,Quarterly,2008-12-30,2037-12-27,2012-03-30,2012-09-24,United States Of America,Central,Indiana,Columbus,47201,500000,60000
2108,Mr. Alfred nan Barber,Corporate,Single,Male,1998-02-05,2009-12-31,,19187.0,AnnuityPlan,Income stream for retirees,19187_2108,HSB_AnnuityPlan_19187,5000,Quarterly,2009-12-31,2037-12-27,2013-03-31,2013-09-25,US,Central,Missouri,Mehlville,63129,500000,60000
539,Miss. Alice nan Coley,Small Business,Married,Female,1998-02-05,2014-12-31,,13579.0,Mediclaim,Related to Life or Personal Claim,13579_539,HSB_Lifeclaim_13579,5000,Quarterly,2014-12-31,2037-12-27,2018-03-31,2018-09-25,US,Central,Illinois,Urbana,61801,500000,60000
1484,Dr. Alison nan Stewart,Home Office,Divorced,Male,1995-02-05,2015-01-01,,12468.0,Mortgages,"Related to Ornaments, Property Claim",02468_1484,HSB_Jewel_02468,60000,Half Yearly,2015-01-01,2034-12-27,2015-07-01,2016-01-01,United States Of America,Central,Illinois,Des Plaines,60016,400000,60000
667,Professor Allison nan Kirby,Corporate,Married,Male,1994-12-07,2011-12-31,,98765.0,Auto,Related to 4 wheelers or 3 wheelers or 2 wheelers Claims,98765_667,HSB_Auto_98765,2000,Monthly,2011-12-31,2034-12-27,2015-01-31,2015-02-28,US,Central,Texas,Dallas,75203,200000,72000
796,Prof. Amanda nan Conner,Corporate,Married,Female,1996-02-05,2012-12-30,,13579.0,Mediclaim,Related to Life or Personal Claim,13579_796,HSB_Lifeclaim_13579,5000,Quarterly,2012-12-30,2035-12-27,2016-03-30,2016-09-24,USA,Central,Nebraska,Papillion,68046,500000,60000
669,Prof. Amy nan Shea,Home Office,Married,Female,1992-02-05,2008-12-30,,13579.0,Mediclaim,Related to Life or Personal Claim,13579_669,HSB_Lifeclaim_13579,5000,Quarterly,2008-12-30,2031-12-27,2012-03-30,2012-09-24,U.S,Central,Iowa,Ottumwa,52501,500000,60000
3397,Prof. Andrea nan Shaw,Small Business,Married,Male,1993-02-05,2013-01-01,,12468.0,Mortgages,"Related to Ornaments, Property Claim",02468_3397,HSB_Jewel_02468,60000,Half Yearly,2013-01-01,2032-12-27,2013-07-01,2014-01-01,US,Central,Illinois,Danville,61832,400000,60000
3046,Doctor. Andrew nan Pearce,Small Business,Married,Male,1995-12-07,2012-12-31,,98765.0,Auto,Related to 4 wheelers or 3 wheelers or 2 wheelers Claims,98765_3046,HSB_Auto_98765,2000,Monthly,2012-12-31,2035-12-27,2016-01-31,2016-02-28,U.S.A,Central,Kansas,Leawood,66209,200000,72000
3132,Professor Anita nan Kang,Corporate,Married,Female,1990-12-09,2008-01-02,,98765.0,Auto,Related to 4 wheelers or 3 wheelers or 2 wheelers Claims,98765_3132,HSB_Auto_98765,2000,Monthly,2008-01-02,2030-12-29,2011-02-02,2011-03-02,USA,Central,Illinois,Mundelein,60060,200000,72000
2896,Doctor. Anna nan Ellis,Home Office,Married,Female,1990-02-05,2006-12-31,,13579.0,Mediclaim,Related to Life or Personal Claim,13579_2896,HSB_Lifeclaim_13579,5000,Quarterly,2006-12-31,2029-12-27,2010-03-31,2010-09-25,USA,Central,Minnesota,Mankato,56001,500000,60000
1254,Professor Anne nan Bland,Home Office,Married,Female,1991-02-05,2007-12-31,,13579.0,Mediclaim,Related to Life or Personal Claim,13579_1254,HSB_Lifeclaim_13579,5000,Quarterly,2007-12-31,2030-12-27,2011-03-31,2011-09-25,U.S,Central,Texas,Channelview,77530,500000,60000
2851,Dr. Annie nan Sherrill,Consumer,Married,Female,1991-02-06,2011-01-02,,12468.0,Mortgages,"Related to Ornaments, Property Claim",02468_2851,HSB_Jewel_02468,60000,Half Yearly,2011-01-02,2030-12-28,2011-07-02,2012-01-02,U.S,Central,Texas,Odessa,79762,400000,60000
3001,Dr. Anthony nan Foley,Consumer,Married,Male,1991-02-07,2008-01-02,,13579.0,Mediclaim,Related to Life or Personal Claim,13579_3001,HSB_Lifeclaim_13579,5000,Quarterly,2008-01-02,2030-12-29,2011-04-02,2011-09-27,US,Central,Michigan,Port Huron,48060,500000,60000
1238,Professor April nan Bowers,Corporate,Married,Male,1990-12-11,2008-01-04,,98765.0,Auto,Related to 4 wheelers or 3 wheelers or 2 wheelers Claims,98765_1238,HSB_Auto_98765,2000,Monthly,2008-01-04,2030-12-31,2011-02-04,2011-03-04,U.S.A,Central,Texas,Cedar Hill,75104,200000,72000
1360,Professor Arlene nan Gibbons,Consumer,Married,Male,1990-12-08,2008-01-01,,98765.0,Auto,Related to 4 wheelers or 3 wheelers or 2 wheelers Claims,98765_1360,HSB_Auto_98765,2000,Monthly,2008-01-01,2030-12-28,2011-02-01,2011-03-01,United States Of America,Central,Iowa,Muscatine,52761,200000,72000
2422,Doctor. Arlene Wiggins Dalton,Home Office,Married,Male,1993-02-05,2009-12-31,,13579.0,Mediclaim,Related to Life or Personal Claim,13579_2422,HSB_Lifeclaim_13579,5000,Quarterly,2009-12-31,2032-12-27,2013-03-31,2013-09-25,US,Central,Texas,Huntsville,77340,500000,60000
688,Prof. Ashley nan Reese,Small Business,Married,Male,1993-02-05,2009-12-31,,13579.0,Mediclaim,Related to Life or Personal Claim,13579_688,HSB_Lifeclaim_13579,5000,Quarterly,2009-12-31,2032-12-27,2013-03-31,2013-09-25,US,Central,Missouri,Saint Louis,63116,500000,60000
2715,Doctor. Becky nan Farmer,Corporate,Single,Male,1993-02-07,2013-01-03,,12468.0,Mortgages,"Related to Ornaments, Property Claim",02468_2715,HSB_Jewel_02468,60000,Half Yearly,2013-01-03,2032-12-29,2013-07-03,2014-01-03,U.S.A,Central,Michigan,Lansing,48911,400000,60000
1131,Prof. Benjamin nan Strauss,Home Office,Single,Male,1995-02-07,2012-01-02,,13579.0,Mediclaim,Related to Life or Personal Claim,13579_1131,HSB_Lifeclaim_13579,5000,Quarterly,2012-01-02,2034-12-29,2015-04-02,2015-09-27,U.S,Central,Texas,El Paso,79907,500000,60000
2892,Professor Benjamin nan Porter,Consumer,Single,Male,1994-12-08,2012-01-01,,98765.0,Auto,Related to 4 wheelers or 3 wheelers or 2 wheelers Claims,98765_2892,HSB_Auto_98765,2000,Monthly,2012-01-01,2034-12-28,2015-02-01,2015-03-01,U.S,Central,Michigan,Livonia,48154,200000,72000
759,Doctor. Bernice F Day,Small Business,Single,Male,1995-02-09,2015-01-05,,12468.0,Mortgages,"Related to Ornaments, Property Claim",02468_759,HSB_Jewel_02468,60000,Half Yearly,2015-01-05,2034-12-31,2015-07-05,2016-01-05,US,Central,Illinois,Quincy,62301,400000,60000
1416,Doctor. Betsy nan Gibson,Small Business,Single,Female,1992-02-05,2008-12-30,,13579.0,Mediclaim,Related to Life or Personal Claim,13579_1416,HSB_Lifeclaim_13579,5000,Quarterly,2008-12-30,2031-12-27,2012-03-30,2012-09-24,US,Central,Indiana,Indianapolis,46203,500000,60000
2630,Doctor. Betsy nan Puckett,Small Business,Single,Female,1992-02-05,2011-12-30,,12468.0,Mortgages,"Related to Ornaments, Property Claim",02468_2630,HSB_Jewel_02468,60000,Half Yearly,2011-12-30,2031-12-27,2012-06-30,2012-12-31,USA,Central,Oklahoma,Norman,73071,400000,60000
2897,Dr. Betty nan Giles,Home Office,Single,Female,1990-02-05,2006-12-31,,13579.0,Mediclaim,Related to Life or Personal Claim,13579_2897,HSB_Lifeclaim_13579,5000,Quarterly,2006-12-31,2029-12-27,2010-03-31,2010-09-25,United States Of America,Central,Minnesota,Maple Grove,55369,500000,60000
890,Dr. Billie nan Fowler,Consumer,Single,Female,1990-02-05,2010-01-01,,12468.0,Mortgages,"Related to Ornaments, Property Claim",02468_890,HSB_Jewel_02468,60000,Half Yearly,2010-01-01,2029-12-27,2010-07-01,2011-01-01,United States Of America,Central,Texas,Bedford,76021,400000,60000
3327,Professor Bob nan Gibson,Small Business,Single,Male,1990-02-05,2006-12-31,,13579.0,Mediclaim,Related to Life or Personal Claim,13579_3327,HSB_Lifeclaim_13579,5000,Quarterly,2006-12-31,2029-12-27,2010-03-31,2010-09-25,US,Central,Michigan,Port Huron,48060,500000,60000
2206,Doctor. Bobby nan Powell,Consumer,Single,Male,1990-02-05,2010-01-01,,12468.0,Mortgages,"Related to Ornaments, Property Claim",02468_2206,HSB_Jewel_02468,60000,Half Yearly,2010-01-01,2029-12-27,2010-07-01,2011-01-01,US,Central,Iowa,Fort Dodge,50501,400000,60000
2266,Professor Brandon nan Beach,Corporate,Single,Male,1990-02-05,2006-12-31,,13579.0,Mediclaim,Related to Life or Personal Claim,13579_2266,HSB_Lifeclaim_13579,5000,Quarterly,2006-12-31,2029-12-27,2010-03-31,2010-09-25,U.S.A,Central,Missouri,Kirkwood,63122,500000,60000
2619,Professor Brandon E Shepherd,Corporate,Single,Male,1990-02-05,2006-12-31,,13579.0,Mediclaim,Related to Life or Personal Claim,13579_2619,HSB_Lifeclaim_13579,5000,Quarterly,2006-12-31,2029-12-27,2010-03-31,2010-09-25,U.S,Central,South Dakota,Sioux Falls,57103,500000,60000
250,Mistress Brenda Nelson Blanchard,Corporate,Single,Male,1990-02-05,2010-01-01,,12468.0,Mortgages,"Related to Ornaments, Property Claim",02468_250,HSB_Jewel_02468,60000,Half Yearly,2010-01-01,2029-12-27,2010-07-01,2011-01-01,U.S.A,Central,Minnesota,Richfield,55423,400000,60000
326,Miss. Brenda nan May,Consumer,Single,Male,1990-02-06,2010-01-02,,12468.0,Mortgages,"Related to Ornaments, Property Claim",02468_326,HSB_Jewel_02468,60000,Half Yearly,2010-01-02,2029-12-28,2010-07-02,2011-01-02,U.S.A,Central,Illinois,Batavia,60510,400000,60000
2272,Prof. Brett nan Ingram,Corporate,Single,Male,1990-02-08,2007-01-03,,13579.0,Mediclaim,Related to Life or Personal Claim,13579_2272,HSB_Lifeclaim_13579,5000,Quarterly,2007-01-03,2029-12-30,2010-04-03,2010-09-28,USA,Central,Texas,Harker Heights,76543,500000,60000
672,Doctor. Brian nan Leach,Small Business,Single,Male,1990-02-05,2010-01-01,,12468.0,Mortgages,"Related to Ornaments, Property Claim",02468_672,HSB_Jewel_02468,60000,Half Yearly,2010-01-01,2029-12-27,2010-07-01,2011-01-01,U.S.A,Central,Iowa,Newton,50208,400000,60000
1419,Professor Brooke nan Lancaster,Small Business,Single,Male,1989-12-08,2007-01-01,,98765.0,Auto,Related to 4 wheelers or 3 wheelers or 2 wheelers Claims,98765_1419,HSB_Auto_98765,2000,Monthly,2007-01-01,2029-12-28,2010-02-01,2010-03-01,U.S.A,Central,Indiana,Lafayette,47905,200000,72000
408,Mr. Calvin Parsons Walter,Corporate,Single,Male,1991-02-07,2008-01-02,,13579.0,Mediclaim,Related to Life or Personal Claim,13579_408,HSB_Lifeclaim_13579,5000,Quarterly,2008-01-02,2030-12-29,2011-04-02,2011-09-27,United States Of America,Central,Texas,San Juan,78589,500000,60000
2668,Professor Carlos nan Hanson,Home Office,Divorced,Male,1991-02-05,2007-12-31,,13579.0,Mediclaim,Related to Life or Personal Claim,13579_2668,HSB_Lifeclaim_13579,5000,Quarterly,2007-12-31,2030-12-27,2011-03-31,2011-09-25,US,Central,South Dakota,Rapid City,57701,500000,60000
1136,Professor Carmen nan McPherson,Consumer,Single,Male,1990-02-06,2010-01-02,,12468.0,Mortgages,"Related to Ornaments, Property Claim",02468_1136,HSB_Jewel_02468,60000,Half Yearly,2010-01-02,2029-12-28,2010-07-02,2011-01-02,United States Of America,Central,Illinois,Carol Stream,60188,400000,60000
915,Prof. Carol nan Sherrill,Home Office,Single,Male,1989-12-08,2007-01-01,,98765.0,Auto,Related to 4 wheelers or 3 wheelers or 2 wheelers Claims,98765_915,HSB_Auto_98765,2000,Monthly,2007-01-01,2029-12-28,2010-02-01,2010-03-01,U.S,Central,Texas,Bryan,77803,200000,72000
2718,Dr. Caroline nan Stone,Consumer,Divorced,Male,1991-02-06,2008-01-01,,13579.0,Mediclaim,Related to Life or Personal Claim,13579_2718,HSB_Lifeclaim_13579,5000,Quarterly,2008-01-01,2030-12-28,2011-04-01,2011-09-26,USA,Central,Illinois,Lansing,60438,500000,60000
1967,Prof. Carolyn nan Hoffman,Small Business,Single,Male,1990-02-06,2007-01-01,,13579.0,Mediclaim,Related to Life or Personal Claim,13579_1967,HSB_Lifeclaim_13579,5000,Quarterly,2007-01-01,2029-12-28,2010-04-01,2010-09-26,U.S,Central,Iowa,Clinton,52732,500000,60000
2862,Prof. Carrie nan High,Corporate,Divorced,Male,1989-12-08,2007-01-01,,98765.0,Auto,Related to 4 wheelers or 3 wheelers or 2 wheelers Claims,98765_2862,HSB_Auto_98765,2000,Monthly,2007-01-01,2029-12-28,2010-02-01,2010-03-01,USA,Central,Nebraska,La Vista,68128,200000,72000
3041,Dr. Carrie nan Duke,Corporate,Divorced,Male,1990-02-05,2006-12-31,,13579.0,Mediclaim,Related to Life or Personal Claim,13579_3041,HSB_Lifeclaim_13579,5000,Quarterly,2006-12-31,2029-12-27,2010-03-31,2010-09-25,United States Of America,Central,Kansas,Garden City,67846,500000,60000
2014,Prof. Cathy nan Simon,Home Office,Single,Male,1991-02-05,2007-12-31,,13579.0,Mediclaim,Related to Life or Personal Claim,13579_2014,HSB_Lifeclaim_13579,5000,Quarterly,2007-12-31,2030-12-27,2011-03-31,2011-09-25,US,Central,Iowa,Council Bluffs,51503,500000,60000
594,Professor Charlie nan Moore,Consumer,Single,Male,1990-12-07,2007-12-31,,98765.0,Auto,Related to 4 wheelers or 3 wheelers or 2 wheelers Claims,98765_594,HSB_Auto_98765,2000,Monthly,2007-12-31,2030-12-27,2011-01-31,2011-02-28,U.S.A,Central,Indiana,Anderson,46016,200000,72000
